"ProbeID","CodeClass","GeneName.x","Accession","IsControl","ControlConc","MF_vs_eMF","MF_vs_D","eMF_vs_D","eMF_vs_HS","MF_vs_HS","AveExpr","F","P.Value","adj.P.Val","GeneName.y"
"Endogenous_CCNB2_NM_004701.2","Endogenous","CCNB2","NM_004701.2",FALSE,NA,0.34444071336971,-0.36685175657926,-0.71129246994897,0.174388039589972,0.518828752959681,5.05918897013784,9.9079040264122,6.41310941006597e-06,1.17444895220485e-05,"CCNB2"
"Endogenous_NLRP3_NM_001079821.2","Endogenous","NLRP3","NM_001079821.2",FALSE,NA,0.00421526530559646,0.486603361644533,0.482388096338936,-0.223730825016315,-0.219515559710718,4.80767997074679,9.90329283015573,6.44806330457128e-06,1.17801156525822e-05,"NLRP3"
"Endogenous_BIRC2_NM_001166.3","Endogenous","BIRC2","NM_001166.3",FALSE,NA,-0.0666530934982985,0.0396572656167171,0.106310359115016,-0.355613724338854,-0.422266817837152,7.74452937488488,9.88402065171109,6.59625332774047e-06,1.20219485109898e-05,"BIRC2"
"Endogenous_CCR2_NM_001123041.2","Endogenous","CCR2","NM_001123041.2",FALSE,NA,0.150106653006592,0.614600421433648,0.464493768427056,1.16151584645386,1.31162249946046,5.52706820318513,9.85133802256541,6.85549697547512e-06,1.24645399554093e-05,"CCR2"
"Endogenous_IDO2_NM_194294.2","Endogenous","IDO2","NM_194294.2",FALSE,NA,0.0347497582350926,0.709498669931396,0.674748911696303,0.878948359027367,0.91369811726246,2.52274302199609,9.84040444881736,6.94450990654636e-06,1.25962470858598e-05,"IDO2"
"Endogenous_AHR_NM_001621.3","Endogenous","AHR","NM_001621.3",FALSE,NA,0.19402033630662,-0.0047960591202969,-0.198816395426917,-0.564407271965946,-0.370386935659326,9.69231199825465,9.83166252191098,7.01652224043959e-06,1.26965640541288e-05,"AHR"
"Endogenous_ENPEP_NM_001977.3","Endogenous","ENPEP","NM_001977.3",FALSE,NA,-0.253550312826853,-0.786052985028923,-0.53250267220207,-0.9240870901266,-1.17763740295345,4.40471371790823,9.81772380966513,7.13291253661671e-06,1.28765166931798e-05,"ENPEP"
"Endogenous_APOE_NM_000041.2","Endogenous","APOE","NM_000041.2",FALSE,NA,0.248598878858582,0.195113941740743,-0.0534849371178385,-1.16000993233113,-0.911411053472548,9.76620924890405,9.81287591322016,7.17385025163148e-06,1.29197303109951e-05,"APOE"
"Endogenous_SQSTM1_NM_003900.3","Endogenous","SQSTM1","NM_003900.3",FALSE,NA,0.459350048013061,0.256957782438322,-0.202392265574739,-0.0247699938717858,0.434580054141275,9.64780916763702,9.80753425388657,7.21923334077398e-06,1.29519131550518e-05,"SQSTM1"
"Endogenous_ALOX5AP_NM_001629.2","Endogenous","ALOX5AP","NM_001629.2",FALSE,NA,0.195879953164608,0.733776544628326,0.537896591463718,0.758740129999252,0.95462008316386,7.32990174577303,9.80676367767936,7.22580418123944e-06,1.29519131550518e-05,"ALOX5AP"
