# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).																				
# The Matrix table should include non-normalized signal count data and detectip p-value																				
"# Values that should be disregarded may either be left blank or labeled as ""null""."																				
	GSM998606		GSM998607		GSM998608		GSM998609		GSM998610		GSM998611		GSM998612		GSM998613		GSM998614		GSM998615	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval	SAMPLE 7	Detection Pval	SAMPLE 8	Detection Pval	SAMPLE 9	Detection Pval	SAMPLE 10	Detection Pval
ILMN_2068874	53.31453	0.8751678	55.16314	0.9512195	49.43599	0.9879194	70.57008	0.2277628	50.95065	1	65.13549	0.7462888	72.74959	0.203504	57.52499	0.8529015	60.46293	0.760218	62.72954	0.7940379
ILMN_1670117	57.62518	0.6859061	59.02612	0.8455285	55.5072	0.8926175	72.88308	0.1495957	76.08012	0	73.16074	0.3549258	58.73601	0.8773585	58.31466	0.8191633	76.18463	0.08174387	58.86144	0.9281843
ILMN_1805104	64.29985	0.3020134	59.88456	0.7953929	58.37513	0.8053691	63.66628	0.6239892	57.34509	1	84.5825	0.05668016	57.87788	0.9218329	67.66384	0.3441296	67.62833	0.3542234	87.62009	0.0203252
ILMN_2404407	54.1963	0.842953	63.91986	0.5826558	52.76451	0.9664429	57.47417	0.9043127	53.18401	1	67.8779	0.6207827	63.31667	0.6981132	73.83003	0.09986505	62.18047	0.6566758	74.24345	0.2723577
ILMN_1791106	105.4772	0	128.2005	0	108.1761	0	131.5416	0	155.933	0	195.5114	0	167.7155	0	158.6219	0	159.0038	0	168.2471	0
ILMN_1766054	1819.316	0	765.8464	0	696.4488	0	775.183	0	1163.107	0	2439.468	0	1791.1	0	1964.036	0	1447.526	0	2007.177	0
ILMN_1753388	61.51721	0.4469799	67.88616	0.3428184	89.89259	0	91.72368	0	96.23934	0	88.31432	0.02699055	103.2029	0	99.59179	0	122.2393	0	76.22691	0.204607
ILMN_2070570	68.72446	0.1261745	79.70329	0.02168022	55.11785	0.9100671	75.60591	0.08625337	69.02827	0	81.07873	0.1147099	83.81617	0.02291105	75.55757	0.07422403	85.28786	0.002724796	85.1906	0.04336043
ILMN_2232084	65.50958	0.242953	73.41752	0.1205962	75.28939	0.07785235	63.24682	0.6522911	106.5438	0	103.823	0	110.3762	0	80.49005	0.02699055	109.0442	0	92.14838	0.00406504
ILMN_1750250	67.07838	0.1892617	60.02699	0.7926829	57.91808	0.8214765	58.13241	0.8894879	66.24167	0	90.01788	0.01619433	77.22973	0.1037736	78.345	0.04318488	61.0764	0.7316076	81.44414	0.08672087
ILMN_2361400	475.6804	0	301.6831	0	339.913	0	264.7175	0	367.8172	0	852.3459	0	443.1825	0	669.7773	0	346.3491	0	691.6942	0
ILMN_1704579	80.341	0.002684564	66.08261	0.4525745	78.26752	0.03758389	63.80373	0.6132075	64.82635	0	140.6881	0	66.06475	0.5579515	76.89813	0.05668016	76.86371	0.07356948	65.58861	0.6734417
ILMN_1687636	62.26957	0.390604	72.30417	0.1382114	68.54749	0.2724832	64.48024	0.5566038	74.39504	0	84.47557	0.05668016	80.03449	0.06334232	65.48836	0.4507422	64.7093	0.520436	79.34435	0.1382114
ILMN_1747627	72.6791	0.05100671	121.0358	0	68.39297	0.2738255	101.1122	0	106.4772	0	193.6966	0	180.905	0	131.648	0	184.5397	0	115.2065	0
ILMN_1758523	66.18071	0.2228188	71.73723	0.1653116	72.17126	0.1342282	67.58964	0.3477089	91.46803	0	174.0849	0	198.9919	0	225.4662	0	234.446	0	95.34234	0
ILMN_1794965	91.99895	0	95.76466	0	95.8214	0	119.7387	0	80.19786	0	230.6904	0	103.0788	0	190.6777	0	112.9147	0	88.84238	0.01490515
ILMN_1722286	84.70367	0	68.83957	0.2940379	73.00135	0.1127517	87.28991	0	81.8752	0	134.629	0	87.53481	0.005390835	109.5925	0	75.54311	0.09673025	91.91943	0.00406504
ILMN_1784176	60.88441	0.4765101	71.47898	0.1693767	59.12786	0.7704698	70.65319	0.2210243	107.5297	0	131.7566	0	125.6703	0	101.8451	0	116.5849	0	97.54693	0
