# The identifiers in the ID_REF column must match the identifiers in the ID column of the referenced platform (GPLxxxx).												
# The Matrix table should include non-normalized signal count data and detectip p-value												
"# Values that should be disregarded may either be left blank or labeled as ""null""."												
	GSM998616		GSM998617		GSM998618		GSM998619		GSM998620		GSM998621	
 ID_REF	SAMPLE 1	Detection Pval	SAMPLE 2	Detection Pval	SAMPLE 3	Detection Pval	SAMPLE 4	Detection Pval	SAMPLE 5	Detection Pval	SAMPLE 6	Detection Pval
ILMN_1668446	48.10163	0.9693742	71.15892	0.3279786	88.52858	0	57.04331	0.8144192	73.2007	0.105615	61.13487	0.6258412
ILMN_1812070	107.5738	0	137.0436	0	113.4881	0	89.71822	0	95.92914	0	92.56618	0
ILMN_2094875	60.63335	0.3901465	68.78693	0.4297189	61.99612	0.6318608	64.14909	0.4379172	65.06948	0.4398396	66.90475	0.3243607
ILMN_1665730	79.65759	0	296.7605	0	108.1916	0	207.8527	0	156.9124	0	129.1593	0
ILMN_2232066	77.6296	0.002663116	83.14082	0.04685408	76.96226	0.06827309	74.05125	0.07209613	81.14228	0.01737968	87.73125	0
ILMN_1767349	64.1528	0.1984021	111.0898	0	80.29576	0.03480589	64.80072	0.4032043	87.45486	0	56.26633	0.8748317
ILMN_1658257	46.14705	0.9880159	74.02868	0.210174	55.64734	0.9036145	53.60883	0.917223	50.14336	0.9906417	53.66748	0.9380888
ILMN_2193980	99.07874	0	176.8764	0	230.6911	0	182.0217	0	179.7131	0	244.6449	0
ILMN_1687840	135.0495	0	229.9666	0	117.496	0	169.2632	0	168.3459	0	222.1133	0
ILMN_2102422	55.9218	0.6671105	81.61137	0.06157965	93.73394	0	64.92114	0.3965287	72.19631	0.1350267	77.76554	0.0269179
ILMN_1788928	66.20175	0.126498	75.74474	0.1740295	70.95511	0.2021419	74.79906	0.06008011	73.45171	0.09625668	67.53336	0.2987887
ILMN_2343047	86.99496	0	179.5049	0	129.4986	0	84.60323	0	115.1798	0	80.16476	0.02153432
ILMN_2343048	103.699	0	175.8401	0	172.369	0	94.50195	0	121.139	0	96.22388	0
ILMN_2335302	61.65081	0.3209054	74.12248	0.210174	63.37729	0.5635877	74.9689	0.05607476	69.38063	0.2459893	56.61139	0.8640646
ILMN_1802404	86.6047	0	251.0945	0	175.8061	0	164.8022	0	325.151	0	119.6242	0
ILMN_1776119	99.44993	0	193.051	0	191.4321	0	192.4459	0	263.8422	0	137.6972	0
ILMN_2358714	49.87785	0.9227697	57.03964	0.9036145	58.22261	0.8179384	55.64183	0.8624833	57.00837	0.8529412	59.16161	0.7496635
ILMN_1732140	56.48961	0.6338215	88.29077	0.009370817	70.94381	0.2034806	77.16946	0.03738318	74.69859	0.07486631	75.40265	0.06191117
ILMN_1713008	71.01225	0.0505992	70.99844	0.3373494	78.96555	0.04283802	88.13625	0	86.56023	0	77.20121	0.03095558
ILMN_1762093	60.76711	0.3834887	86.08228	0.01874163	68.96599	0.2717537	76.08632	0.0493992	79.09293	0.02807487	82.45863	0.00807537
ILMN_1709092	61.32895	0.3382157	75.92347	0.1713521	75.55232	0.08835341	69.79932	0.1855808	66.57841	0.3582888	67.81195	0.2853298
ILMN_1678409	74.37449	0.0159787	68.35036	0.4444444	75.85818	0.08165997	77.31618	0.03738318	63.09919	0.5508021	87.60853	0
ILMN_1774344	92.21243	0	99.70438	0	90.66958	0	84.12534	0.001335114	96.4449	0	91.6407	0
ILMN_1676278	70.15167	0.06391478	92.63644	0	72.59881	0.1566265	58.86465	0.7463284	79.68735	0.02673797	79.92092	0.02153432
ILMN_1717466	54.21835	0.7576565	74.32198	0.2088353	69.77876	0.2369478	58.42064	0.76502	64.87225	0.447861	72.3062	0.1386272
ILMN_1677814	138.2487	0	525.6678	0	822.7928	0	244.769	0	380.0859	0	96.63861	0
ILMN_1788457	83.6949	0	235.7847	0	114.9148	0	160.2562	0	110.3408	0	86.69589	0
ILMN_2194009	63.22453	0.2450067	109.7612	0	77.85483	0.05756359	85.4816	0	81.51746	0.01737968	72.76665	0.1224764
ILMN_2302358	50.84757	0.9001331	56.3709	0.91834	53.21641	0.9598393	59.3723	0.7222964	48.59206	0.9946524	61.41833	0.6137281
ILMN_1706531	153.7921	0	299.0799	0	594.5526	0	359.8759	0	375.8098	0	210.9154	0
ILMN_1651964	119.9679	0	244.2386	0	301.3198	0	222.4699	0	235.1932	0	165.4157	0
ILMN_1725675	73.5868	0.02263648	72.32016	0.2757697	67.32771	0.3319947	58.48507	0.7623498	61.57378	0.6176471	74.01142	0.09152086
ILMN_1778352	66.75449	0.114514	75.01428	0.1954485	72.26352	0.1646586	76.53231	0.04539386	63.79013	0.5106952	64.89632	0.4239569
